map_name,raw_value,encoded_id,technology,source,physical_meaning
cell_type_id,AND2_X1,0,nangate45,Liberty cell,2输入AND驱动强度X1
cell_type_id,AND2_X2,1,nangate45,Liberty cell,2输入AND驱动强度X2
cell_type_id,AND2_X4,2,nangate45,Liberty cell,2输入AND驱动强度X4
cell_type_id,AND3_X1,3,nangate45,Liberty cell,3输入AND驱动强度X1
cell_type_id,AND3_X2,4,nangate45,Liberty cell,3输入AND驱动强度X2
cell_type_id,AND3_X4,5,nangate45,Liberty cell,3输入AND驱动强度X4
cell_type_id,AND4_X1,6,nangate45,Liberty cell,4输入AND驱动强度X1
cell_type_id,AND4_X2,7,nangate45,Liberty cell,4输入AND驱动强度X2
cell_type_id,AND4_X4,8,nangate45,Liberty cell,4输入AND驱动强度X4
cell_type_id,ANTENNA_X1,9,nangate45,Liberty cell,天线修复单元
cell_type_id,AOI211_X1,10,nangate45,Liberty cell,AOI211驱动强度X1
cell_type_id,AOI211_X2,11,nangate45,Liberty cell,AOI211驱动强度X2
cell_type_id,AOI211_X4,12,nangate45,Liberty cell,AOI211驱动强度X4
cell_type_id,AOI21_X1,13,nangate45,Liberty cell,AOI21驱动强度X1
cell_type_id,AOI21_X2,14,nangate45,Liberty cell,AOI21驱动强度X2
cell_type_id,AOI21_X4,15,nangate45,Liberty cell,AOI21驱动强度X4
cell_type_id,AOI221_X1,16,nangate45,Liberty cell,AOI221驱动强度X1
cell_type_id,AOI221_X2,17,nangate45,Liberty cell,AOI221驱动强度X2
cell_type_id,AOI221_X4,18,nangate45,Liberty cell,AOI221驱动强度X4
cell_type_id,AOI222_X1,19,nangate45,Liberty cell,AOI222驱动强度X1
cell_type_id,AOI222_X2,20,nangate45,Liberty cell,AOI222驱动强度X2
cell_type_id,AOI222_X4,21,nangate45,Liberty cell,AOI222驱动强度X4
cell_type_id,AOI22_X1,22,nangate45,Liberty cell,AOI22驱动强度X1
cell_type_id,AOI22_X2,23,nangate45,Liberty cell,AOI22驱动强度X2
cell_type_id,AOI22_X4,24,nangate45,Liberty cell,AOI22驱动强度X4
cell_type_id,BUF_X1,25,nangate45,Liberty cell,缓冲器驱动强度X1
cell_type_id,BUF_X16,26,nangate45,Liberty cell,缓冲器驱动强度X16
cell_type_id,BUF_X2,27,nangate45,Liberty cell,缓冲器驱动强度X2
cell_type_id,BUF_X32,28,nangate45,Liberty cell,缓冲器驱动强度X32
cell_type_id,BUF_X4,29,nangate45,Liberty cell,缓冲器驱动强度X4
cell_type_id,BUF_X8,30,nangate45,Liberty cell,缓冲器驱动强度X8
cell_type_id,CLKBUF_X1,31,nangate45,Liberty cell,时钟缓冲器X1
cell_type_id,CLKBUF_X2,32,nangate45,Liberty cell,时钟缓冲器X2
cell_type_id,CLKBUF_X3,33,nangate45,Liberty cell,时钟缓冲器X3
cell_type_id,CLKGATETST_X1,34,nangate45,Liberty cell,测试时钟门控X1
cell_type_id,CLKGATETST_X2,35,nangate45,Liberty cell,测试时钟门控X2
cell_type_id,CLKGATETST_X4,36,nangate45,Liberty cell,测试时钟门控X4
cell_type_id,CLKGATETST_X8,37,nangate45,Liberty cell,测试时钟门控X8
cell_type_id,CLKGATE_X1,38,nangate45,Liberty cell,时钟门控X1
cell_type_id,CLKGATE_X2,39,nangate45,Liberty cell,时钟门控X2
cell_type_id,CLKGATE_X4,40,nangate45,Liberty cell,时钟门控X4
cell_type_id,CLKGATE_X8,41,nangate45,Liberty cell,时钟门控X8
cell_type_id,DFFRS_X1,42,nangate45,Liberty cell,复位置位DFF X1
cell_type_id,DFFRS_X2,43,nangate45,Liberty cell,复位置位DFF X2
cell_type_id,DFFR_X1,44,nangate45,Liberty cell,复位DFF X1
cell_type_id,DFFR_X2,45,nangate45,Liberty cell,复位DFF X2
cell_type_id,DFFS_X1,46,nangate45,Liberty cell,置位DFF X1
cell_type_id,DFFS_X2,47,nangate45,Liberty cell,置位DFF X2
cell_type_id,DFF_X1,48,nangate45,Liberty cell,DFF X1
cell_type_id,DFF_X2,49,nangate45,Liberty cell,DFF X2
cell_type_id,DLH_X1,50,nangate45,Liberty cell,高电平锁存器X1
cell_type_id,DLH_X2,51,nangate45,Liberty cell,高电平锁存器X2
cell_type_id,DLL_X1,52,nangate45,Liberty cell,低电平锁存器X1
cell_type_id,DLL_X2,53,nangate45,Liberty cell,低电平锁存器X2
cell_type_id,FA_X1,54,nangate45,Liberty cell,全加器
